PersonIdCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
2023,0,0,0,0,0,0,0,0,19,1,10,1,0,0,0,3,11
2061,3,32,18,23,46,51,89,95,60,80,80,71,75,62,74,80,67
2129,28,22,35,46,93,67,85,72,49,107,76,131,119,103,81,96,67
2143,19,28,17,15,26,16,15,26,20,29,20,11,23,38,44,54,27
2147,68,45,47,48,34,47,30,39,31,48,47,29,13,12,9,13,14
2287,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2292,10,17,18,9,15,17,12,12,27,4,5,10,20,17,23,39,19
2310,0,2,7,7,24,6,5,8,12,67,96,146,69,72,78,150,238
2323,9,12,5,6,12,4,23,24,36,35,38,36,14,18,25,24,14
2328,7,4,2,1,0,0,0,0,0,0,0,0,8,2,1,1,4
2370,8,19,7,25,15,5,11,18,11,24,42,66,64,43,55,47,30
2372,19,11,14,16,13,19,15,19,8,19,14,5,8,9,15,7,9
2385,15,19,9,6,37,27,18,17,21,4,9,10,77,54,57,44,31
2405,41,292,694,23,21,6,15,27,38,48,50,52,31,39,85,149,27
2417,0,0,0,0,0,0,0,0,0,0,0,1,13,7,20,26,21
2501,16,15,27,22,63,361,675,8,111,140,85,99,35,25,44,38,31
2510,22,32,40,21,63,5,73,243,95,274,258,317,262,304,365,308,226
2525,3,22,25,25,13,23,12,31,25,36,18,39,29,19,25,14,25
2530,7,13,22,18,15,27,12,9,10,20,38,253,312,172,208,214,224
2534,34,11,49,48,38,51,53,53,70,183,112,230,278,264,338,245,263
2536,8,17,28,4,9,15,21,25,15,12,11,15,16,7,5,45,191
2541,8,9,24,21,25,19,25,36,6,18,19,320,671,24,15,30,17
2546,1,9,9,0,0,0,0,0,0,0,10,30,33,31,55,92,41
2561,27,28,39,21,20,41,30,39,48,61,40,93,462,835,51,22,25
2565,0,11,8,25,11,13,5,9,7,6,9,8,23,20,20,19,57
2569,0,4,30,31,22,23,20,26,20,19,21,27,197,634,11,14,28
2573,0,0,13,7,26,4,26,12,59,343,653,15,43,40,25,32,15
2575,0,0,2,13,46,32,116,91,29,51,59,67,66,336,820,52,39
2580,0,0,0,3,13,23,29,49,38,37,55,43,45,42,30,36,41
2583,0,0,0,1,3,6,12,10,36,26,17,22,13,18,6,29,15
2584,0,0,0,0,14,13,15,27,11,28,23,12,23,28,60,60,32
2585,0,0,0,0,3,18,15,10,29,25,35,49,33,21,22,22,40
2588,0,0,0,0,6,20,12,23,21,28,6,17,23,33,19,26,12
2589,0,0,0,0,16,56,33,20,21,94,224,289,81,77,73,61,89
2593,0,0,0,3,21,21,36,32,33,56,20,27,45,27,34,34,60
2594,0,0,0,0,35,41,40,53,73,64,42,62,81,44,65,43,52
2597,0,0,0,0,9,12,5,14,1,10,13,40,11,9,9,10,2
2600,0,0,0,0,9,24,12,22,12,17,16,11,21,23,41,31,38
2601,0,0,0,0,10,14,26,22,38,36,43,37,39,32,53,34,27
2608,0,0,0,0,12,32,37,26,34,40,32,62,42,30,60,57,17
2613,0,0,0,2,34,15,18,16,22,27,39,12,21,28,43,55,33
2614,0,0,0,0,8,16,41,33,37,21,21,50,22,32,42,258,785
2616,0,0,0,0,43,29,7,25,17,47,43,59,40,10,8,20,21
2617,0,0,0,1,25,17,26,23,33,19,23,36,23,16,22,38,30
2618,0,0,0,0,0,1,5,5,3,7,8,25,15,6,12,13,11
2619,0,0,0,0,19,13,10,14,14,22,14,13,47,41,9,9,50
2621,0,0,0,0,17,15,16,10,26,21,42,11,21,22,10,15,74
2623,0,0,0,0,28,15,17,14,5,3,4,7,13,8,23,7,25
2627,0,0,0,0,31,25,37,53,35,43,29,26,50,36,40,52,37
2629,0,0,0,0,5,16,12,21,21,47,39,21,28,38,84,74,22
2630,0,0,0,0,3,13,30,17,26,27,52,37,43,26,23,36,14
2631,0,0,0,0,26,39,17,28,49,69,56,80,40,63,59,62,35
2632,0,0,0,0,25,40,40,37,64,75,45,77,56,70,13,21,28
2638,0,0,0,0,4,5,8,19,10,15,18,10,11,7,11,13,14
2641,0,0,0,2,13,23,29,14,15,27,94,87,25,34,29,104,14
2642,0,0,0,0,28,34,62,69,272,1005,85,54,210,279,316,190,117
2646,0,0,0,0,0,7,14,7,21,23,17,9,13,32,24,23,18
2647,0,0,0,0,0,3,17,13,10,9,7,21,69,36,49,55,27
2648,0,0,0,0,1,33,40,22,26,40,36,36,27,30,42,32,19
2652,0,0,0,0,0,0,5,8,13,10,10,23,40,33,21,36,12
2654,0,0,0,0,0,0,22,43,34,75,55,65,67,61,46,48,55
2657,0,0,0,0,0,0,1,11,17,13,9,11,11,12,9,12,11
2660,0,0,0,0,0,0,0,17,9,14,20,5,36,48,61,18,36
2661,0,0,0,0,0,0,0,21,27,10,12,10,8,9,7,10,10
2664,0,0,0,0,0,0,0,11,6,18,53,36,51,48,23,32,5
2666,0,0,0,0,0,0,0,10,23,31,22,28,29,37,27,39,19
2667,0,0,0,0,0,0,0,5,10,15,26,19,24,39,113,155,61
2669,0,0,0,0,0,0,0,3,20,36,16,39,14,23,46,39,31
2670,0,0,0,0,0,0,0,0,5,15,8,12,20,8,15,17,14
2674,0,0,0,0,0,0,0,1,11,32,49,31,43,33,47,42,33
2675,0,0,0,0,0,0,0,0,12,17,15,8,24,15,29,19,22
2678,0,0,0,0,0,0,0,0,20,14,9,16,9,8,5,13,4
2679,0,0,0,0,0,0,0,0,5,7,12,4,9,3,11,4,1
2680,0,0,0,0,0,0,0,0,7,8,16,20,20,11,11,22,8
2681,0,0,0,0,0,0,0,2,9,22,13,20,18,33,15,12,12
2682,0,0,0,0,0,0,0,0,8,7,12,20,25,16,9,10,46
2683,0,0,0,0,0,0,0,2,7,8,15,5,15,7,6,11,6
2685,0,0,0,0,0,0,0,1,17,25,30,17,24,22,31,40,25
2686,0,0,0,0,0,0,0,0,4,13,11,8,0,0,0,0,3
2688,0,0,0,0,0,0,0,1,11,25,30,43,39,44,37,42,19
2689,0,0,0,0,0,0,0,0,6,13,34,20,16,12,28,13,13
2690,0,0,0,0,0,0,0,0,18,17,9,10,7,13,4,3,4
2691,0,0,0,0,0,0,0,3,13,9,27,26,27,29,20,34,7
2693,0,0,0,0,0,0,0,1,27,12,20,14,11,26,12,47,8
2694,0,0,0,0,0,0,0,2,16,27,30,36,38,29,21,17,25
2698,0,0,0,0,0,0,0,2,26,29,15,15,37,29,26,18,22
2700,0,0,0,0,0,0,0,1,15,17,14,23,5,3,8,10,17
2701,0,0,0,0,0,0,0,0,27,24,32,39,22,16,34,32,21
2702,0,0,0,0,0,0,0,1,7,12,21,16,5,13,13,13,25
2704,0,0,0,0,0,0,0,5,17,8,13,9,12,14,9,19,13
2705,0,0,0,0,0,0,0,0,6,27,19,10,10,29,22,16,7
2707,0,0,0,0,0,0,0,0,10,17,12,14,14,10,15,12,16
2708,0,0,0,0,0,0,0,0,9,14,41,14,0,0,0,0,16
2710,0,0,0,0,0,0,0,1,19,17,11,20,14,24,20,26,11
2713,0,0,0,0,0,0,0,0,9,13,5,4,16,11,8,25,25
2715,0,0,0,0,0,0,0,3,24,43,48,61,40,45,78,47,42
2717,0,0,0,0,0,0,0,0,13,16,37,32,70,83,52,40,32
2718,0,0,0,0,0,0,0,1,9,14,28,33,50,32,25,25,15
2719,0,0,0,0,0,0,0,2,22,50,44,35,81,60,430,919,22
2721,0,0,0,0,0,0,0,0,18,32,36,37,31,27,30,32,42
2723,0,0,0,0,0,0,0,0,1,17,26,21,84,64,27,10,11
2724,0,0,0,0,0,0,0,2,23,34,58,52,145,119,60,44,34
2726,0,0,0,0,0,0,0,2,5,10,9,14,30,24,21,19,21
2728,0,0,0,0,0,0,0,0,10,20,29,27,23,34,45,51,48
2735,0,0,0,0,0,0,0,0,0,7,17,29,17,17,10,13,17
2738,0,0,0,0,0,0,0,0,0,2,13,24,23,32,32,29,9
2740,0,0,0,0,0,0,0,0,0,0,1,1,23,45,38,33,12
2741,0,0,0,0,0,0,0,0,0,0,12,16,24,27,55,364,791
2743,0,0,0,0,0,0,0,0,0,0,10,24,12,26,19,26,41
2744,0,0,0,0,0,0,0,0,0,0,10,20,9,22,12,14,10
2745,0,0,0,0,0,0,0,0,0,0,12,19,31,36,36,37,49
2747,0,0,0,0,0,0,0,0,0,0,1,9,13,12,14,4,8
2748,0,0,0,0,0,0,0,0,0,0,0,7,29,13,10,13,20
2750,0,0,0,0,0,0,0,0,0,0,0,5,14,16,12,23,39
2751,0,0,0,0,0,0,0,0,0,0,0,14,31,28,17,30,26
2752,0,0,0,0,0,0,0,0,0,0,0,1,6,7,10,4,2
2754,0,0,0,0,0,0,0,0,0,0,0,1,24,30,16,32,46
2757,0,0,0,0,0,0,0,0,0,0,0,0,11,30,27,26,36
2758,0,0,0,0,0,0,0,0,0,0,0,2,36,40,28,50,47
2759,0,0,0,0,0,0,0,0,0,0,0,0,17,23,17,39,19
2760,0,0,0,0,0,0,0,0,0,0,0,2,12,9,18,11,16
2761,0,0,0,0,0,0,0,0,0,0,0,0,14,22,21,25,6
2762,0,0,0,0,0,0,0,0,0,0,0,0,15,17,35,40,34
2763,0,0,0,0,0,0,0,0,0,0,0,0,5,9,12,21,8
2764,0,0,0,0,0,0,0,0,0,0,0,2,5,12,13,5,6
2765,0,0,0,0,0,0,0,0,0,0,0,1,25,37,52,58,44
2766,0,0,0,0,0,0,0,0,0,0,0,0,11,9,12,14,29
2767,0,0,0,0,0,0,0,0,0,0,0,2,19,4,30,22,23
2768,0,0,0,0,0,0,0,0,0,0,0,2,42,46,152,100,34
2769,0,0,0,0,0,0,0,0,0,0,0,0,23,40,34,32,35
2770,0,0,0,0,0,0,0,0,0,0,0,3,24,14,31,16,8
2771,0,0,0,0,0,0,0,0,0,0,0,0,17,18,30,16,13
2772,0,0,0,0,0,0,0,0,0,0,0,0,21,13,14,15,4
2773,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,6,8
2774,0,0,0,0,0,0,0,0,0,0,0,3,32,31,31,50,19
2775,0,0,0,0,0,0,0,0,0,0,0,0,13,53,40,35,20
2776,0,0,0,0,0,0,0,0,0,0,0,3,11,16,17,15,16
2777,0,0,0,0,0,0,0,0,0,0,0,0,12,16,19,13,16
2778,0,0,0,0,0,0,0,0,0,0,0,1,10,22,30,45,24
2779,0,0,0,0,0,0,0,0,0,0,0,1,22,19,42,32,31
2780,0,0,0,0,0,0,0,0,0,0,0,0,21,17,32,38,42
2781,0,0,0,0,0,0,0,0,0,0,0,0,6,10,29,3,4
2783,0,0,0,0,0,0,0,0,0,0,0,0,44,35,48,38,55
2784,0,0,0,0,0,0,0,0,0,0,0,0,4,24,9,12,11
2785,0,0,0,0,0,0,0,0,0,0,0,1,14,37,40,35,33
2786,0,0,0,0,0,0,0,0,0,0,0,0,14,17,45,19,30
2787,0,0,0,0,0,0,0,0,0,0,0,0,25,48,56,49,45
2788,0,0,0,0,0,0,0,0,0,0,0,0,16,11,15,12,23
2789,0,0,0,0,0,0,0,0,0,0,0,0,18,25,11,23,38
2790,0,0,0,0,0,0,0,0,0,0,0,0,11,32,19,18,13
2792,0,0,0,0,0,0,0,0,0,0,0,1,28,15,22,27,14
2793,0,0,0,0,0,0,0,0,0,0,0,0,19,23,23,48,24
2795,0,0,0,0,0,0,0,0,0,0,0,1,8,17,26,22,23
2796,0,0,0,0,0,0,0,0,0,0,0,1,12,26,38,24,32
2798,0,0,0,0,0,0,0,0,0,0,0,1,24,13,16,21,7
2799,0,0,0,0,0,0,0,0,0,0,0,1,10,30,15,23,11
3000,0,0,0,0,0,0,0,0,0,0,0,0,17,29,34,32,30
3001,0,0,0,0,0,0,0,0,0,0,0,1,6,17,15,19,8
3002,0,0,0,0,0,0,0,0,0,0,0,0,25,13,23,31,20
3003,0,0,0,0,0,0,0,0,0,0,0,0,51,46,53,64,50
3005,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,5,18
3007,0,0,0,0,0,0,0,0,0,0,0,0,18,16,14,12,9
3009,0,0,0,0,0,0,0,0,0,0,0,0,4,10,16,12,14
3010,0,0,0,0,0,0,0,0,0,0,0,2,27,22,37,28,41
3012,0,0,0,0,0,0,0,0,0,0,0,0,20,30,32,20,47
3013,0,0,0,0,0,0,0,0,0,0,0,0,9,25,31,13,27
3014,0,0,0,0,0,0,0,0,0,0,0,0,22,26,24,16,24
3016,0,0,0,0,0,0,0,0,0,0,0,0,26,11,14,33,49
3017,0,0,0,0,0,0,0,0,0,0,0,0,9,14,12,10,18
3018,0,0,0,0,0,0,0,0,0,0,0,0,10,7,9,6,10
3019,0,0,0,0,0,0,0,0,0,0,0,5,53,34,26,27,21
3020,0,0,0,0,0,0,0,0,0,0,0,1,27,53,48,43,34
3021,0,0,0,0,0,0,0,0,0,0,0,0,9,8,18,13,13
3023,0,0,0,0,0,0,0,0,0,0,0,0,6,8,19,9,16
3024,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,12,7
3025,0,0,0,0,0,0,0,0,0,0,0,1,17,21,26,27,21
3026,0,0,0,0,0,0,0,0,0,0,0,0,21,38,29,30,23
3029,0,0,0,0,0,0,0,0,0,0,0,0,1,11,32,23,17
3030,0,0,0,0,0,0,0,0,0,0,0,0,1,10,32,16,15
3033,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,22,19
3034,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,6
3035,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,19,23
3036,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,11,30
3037,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,20,19
3039,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,22,8
3040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13,22
3041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,49,14
3042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,7
3043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,27,26
3044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,19
3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,19
3046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,29
3047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,41,26
3051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
3052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
3053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15
3054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
3055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21
3056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
3059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19
3060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18
3061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
3063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
3066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
3069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
3071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
3072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
3073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
3075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
3077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
3078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
3079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
3081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16
3083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
3084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
3085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
3086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32
3087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10
3088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
3089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
3090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
3091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17
3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
3095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
3096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
3098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17
3099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
3101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
3105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
3106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
3107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18
3108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
3109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21
3110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
3604,0,0,0,0,0,0,0,0,0,0,0,1,14,16,34,29,21
